web-scraper-order,web-scraper-start-url,produk,produk-href,nama,harga
"1618514777-416","https://www.lazada.co.id/realme-indonesia/?q=All-Products&langFlag=id&from=wangpu&lang=id&pageTypeId=2","","https://www.lazada.co.id/products/realme-adventurer-luggage-i2022440098-s3944576675.html?mp=1","realme Adventurer Luggage","Rp698.000"
"1618514647-412","https://www.lazada.co.id/realme-indonesia/?q=All-Products&langFlag=id&from=wangpu&lang=id&pageTypeId=2","","https://www.lazada.co.id/products/realme-adventurer-backpack-i2022464593-s3944686077.html?mp=1","realme Adventurer Backpack","Rp348.000"
"1618515963-418","https://www.lazada.co.id/realme-indonesia/?q=All-Products&langFlag=id&from=wangpu&lang=id&pageTypeId=2","","https://www.lazada.co.id/products/hp-realme-6-pro-8128gb-64mp-ai-quad-camera-90hz-ultra-smooth-display-30w-flash-charge-snapdragon-720g-i1152088779-s1813268677.html?mp=1","Hp realme 6 Pro 8/128GB [64MP AI Quad Camera, 90Hz Ultra Smooth Display, 30W Flash Charge, Snapdragon 720G]","Rp3.548.000"
"1618514668-413","https://www.lazada.co.id/realme-indonesia/?q=All-Products&langFlag=id&from=wangpu&lang=id&pageTypeId=2","","https://www.lazada.co.id/products/realme-smart-cam-360-1080p-video-recording-ai-motion-detection-support-sd-card-up-to-128-gb-i3444378976-s5889770009.html?mp=1","realme Smart Cam 360° [1080p Video Recording, AI Motion Detection, Support SD Card up to 128 GB]","Rp498.000"
"1618514980-417","https://www.lazada.co.id/realme-indonesia/?q=All-Products&langFlag=id&from=wangpu&lang=id&pageTypeId=2","","https://www.lazada.co.id/products/realme-buds-air-2-active-noice-cancellation-25hr-total-playback-wear-detection-black-i5067840497-s9409202299.html?mp=1","realme Buds Air 2 [Active Noice Cancellation, 25hr Total Playback, Wear Detection] - Black","Rp799.000"
"1618514691-414","https://www.lazada.co.id/realme-indonesia/?q=All-Products&langFlag=id&from=wangpu&lang=id&pageTypeId=2","","https://www.lazada.co.id/products/realme-c17-6256gb-90hz-ultra-smooth-display-5000mah-massive-battery-13mp-ai-quad-camera-i3198270500-s5595682310.html?mp=1","realme C17 6/256GB [90Hz Ultra Smooth Display, 5000mAh Massive Battery, 13MP AI Quad Camera]","Rp2.798.000"
"1618514712-415","https://www.lazada.co.id/realme-indonesia/?q=All-Products&langFlag=id&from=wangpu&lang=id&pageTypeId=2","","https://www.lazada.co.id/products/realme-m1-sonic-electric-toothbrush-i3444752107-s5890178023.html?mp=1","realme M1 Sonic Electric Toothbrush","Rp598.500"
